Регион;Код;2015 г.;2016 г.;2017 г.;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.;2023 г.;2024 г.
Российская Федерация;643;74.0;74.0;74.0;74.0;75.0;75.0;75.0;75.0;75.0;75.0
Центральный федеральный округ;30;82.0;82.0;82.0;82.0;82.0;82.0;82.0;82.0;82.0;82.0
Белгородская область;140;66.0;66.0;66.0;66.0;66.0;66.0;65.0;65.0;65.0;65.0
Брянская область;150;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0
Владимирская область;170;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0
Воронежская область;200;67.0;67.0;68.0;68.0;68.0;68.0;68.0;68.0;68.0;68.0
Ивановская область;240;81.0;81.0;81.0;82.0;82.0;82.0;82.0;82.0;82.0;82.0
Калужская область;290;76.0;76.0;76.0;76.0;75.0;75.0;75.0;75.0;75.0;75.0
Костромская область;340;71.0;72.0;72.0;72.0;73.0;73.0;73.0;74.0;74.0;74.0
Курская область;380;67.0;67.0;68.0;68.0;68.0;68.0;68.0;68.0;68.0;69.0
Липецкая область;420;64.0;64.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0
Московская область;460;80.0;80.0;80.0;79.0;79.0;79.0;79.0;78.0;78.0;78.0
Орловская область;540;66.0;67.0;67.0;67.0;67.0;67.0;67.0;67.0;67.0;66.0
Рязанская область;610;71.0;71.0;71.0;71.0;72.0;72.0;72.0;71.0;71.0;71.0
Смоленская область;660;72.0;72.0;73.0;72.0;72.0;72.0;72.0;73.0;73.0;73.0
Тамбовская область;680;59.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0
Тверская область;280;75.0;75.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0
Тульская область;700;77.0;76.0;76.0;75.0;75.0;74.0;74.0;73.0;73.0;73.0
Ярославская область;780;82.0;82.0;82.0;82.0;82.0;81.0;81.0;81.0;81.0;81.0
Город Москва столица Российской Федерации город федерального значения;450;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Северо-Западный федеральный округ;31;84.0;84.0;84.0;84.0;84.0;85.0;85.0;85.0;85.0;85.0
Республика Карелия;860;79.0;79.0;79.0;79.0;79.0;79.0;79.0;79.0;80.0;80.0
Республика Коми;870;77.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0
